ITEM,PROMO PRICE
FORCE KETTLE-FO-002,40
MARADO FRIDGE GUARD,40
SCARLLETT KETTLE SC-20A,40
Royal umbrella 5 kg Rice,40
CiC 5 kg Rice,40
Zea Cooking Oil 1.8 lit,35
Diora 5kg Rice,35
BIG WALL MOUNT,30
Aya Cooking Oil 1.5 lit,25
Unoli Cooking Oil 1 lit,20
Frytol Cooking Oil 1 lit,20
